시군명,확진시기,확진자수
춘천,2020-02-22,2
원주,2020-02-22,0
강릉,2020-02-22,0
동해,2020-02-22,0
태백,2020-02-22,0
속초,2020-02-22,2
삼척,2020-02-22,1
홍천,2020-02-22,0
횡성,2020-02-22,0
영월,2020-02-22,0
평창,2020-02-22,0
정선,2020-02-22,0
철원,2020-02-22,0
화천,2020-02-22,0
양구,2020-02-22,0
인제,2020-02-22,0
고성,2020-02-22,0
양양,2020-02-22,0
춘천,2020-02-23,0
원주,2020-02-23,0
강릉,2020-02-23,1
동해,2020-02-23,0
태백,2020-02-23,0
속초,2020-02-23,0
삼척,2020-02-23,0
홍천,2020-02-23,0
횡성,2020-02-23,0
영월,2020-02-23,0
평창,2020-02-23,0
정선,2020-02-23,0
철원,2020-02-23,0
화천,2020-02-23,0
양구,2020-02-23,0
인제,2020-02-23,0
고성,2020-02-23,0
양양,2020-02-23,0
춘천,2020-02-24,0
원주,2020-02-24,0
강릉,2020-02-24,0
동해,2020-02-24,0
태백,2020-02-24,0
속초,2020-02-24,0
삼척,2020-02-24,0
홍천,2020-02-24,0
횡성,2020-02-24,0
영월,2020-02-24,0
평창,2020-02-24,0
정선,2020-02-24,0
철원,2020-02-24,0
화천,2020-02-24,0
양구,2020-02-24,0
인제,2020-02-24,0
고성,2020-02-24,0
양양,2020-02-24,0
춘천,2020-02-25,0
원주,2020-02-25,0
강릉,2020-02-25,0
동해,2020-02-25,0
태백,2020-02-25,0
속초,2020-02-25,0
삼척,2020-02-25,0
홍천,2020-02-25,0
횡성,2020-02-25,0
영월,2020-02-25,0
평창,2020-02-25,0
정선,2020-02-25,0
철원,2020-02-25,0
화천,2020-02-25,0
양구,2020-02-25,0
인제,2020-02-25,0
고성,2020-02-25,0
양양,2020-02-25,0
춘천,2020-02-26,0
원주,2020-02-26,0
강릉,2020-02-26,0
동해,2020-02-26,0
태백,2020-02-26,0
속초,2020-02-26,0
삼척,2020-02-26,0
홍천,2020-02-26,0
횡성,2020-02-26,0
영월,2020-02-26,0
평창,2020-02-26,0
정선,2020-02-26,0
철원,2020-02-26,0
화천,2020-02-26,0
양구,2020-02-26,0
인제,2020-02-26,0
고성,2020-02-26,0
양양,2020-02-26,0
춘천,2020-02-27,0
원주,2020-02-27,1
강릉,2020-02-27,0
동해,2020-02-27,0
태백,2020-02-27,0
속초,2020-02-27,0
삼척,2020-02-27,0
