시도명,시군구명,자치단체코드,과세년도,세목명,체납액구간,체납건수,체납금액,누적체납건수,누적체납금액
경기도,수원시영통구,41117,2018,재산세,1천만원~3천만원미만,4,65480510,27,436274820
경기도,수원시장안구,41111,2018,재산세,30만원~50만원미만,17,6403050,380,141151130
경기도,수원시권선구,41113,2018,재산세,30만원~50만원미만,13,5223670,380,141151130
경기도,수원시팔달구,41115,2018,재산세,30만원~50만원미만,35,13034140,380,141151130
경기도,수원시영통구,41117,2018,재산세,30만원~50만원미만,24,9341540,380,141151130
경기도,수원시권선구,41113,2018,재산세,3백만원~5백만원미만,1,3066670,49,185225270
경기도,수원시팔달구,41115,2018,재산세,3백만원~5백만원미만,2,8532310,49,185225270
경기도,수원시영통구,41117,2018,재산세,3백만원~5백만원미만,3,11554470,49,185225270
경기도,수원시영통구,41117,2018,재산세,3천만원~5천만원미만,1,31571850,2,67561260
경기도,수원시장안구,41111,2018,재산세,50만원~1백만원미만,12,7387310,344,243664920
경기도,수원시권선구,41113,2018,재산세,50만원~1백만원미만,8,5000570,344,243664920
경기도,수원시팔달구,41115,2018,재산세,50만원~1백만원미만,43,30599740,344,243664920
경기도,수원시영통구,41117,2018,재산세,50만원~1백만원미만,14,9590720,344,243664920
경기도,수원시장안구,41111,2018,재산세,5백만원~1천만원미만,1,7032020,35,249106320
경기도,수원시권선구,41113,2018,재산세,5백만원~1천만원미만,3,17660810,35,249106320
경기도,수원시팔달구,41115,2018,재산세,5백만원~1천만원미만,6,44060520,35,249106320
경기도,수원시영통구,41117,2018,재산세,5백만원~1천만원미만,3,23973530,35,249106320
경기도,수원시팔달구,41115,2018,재산세,5천만원~1억원미만,2,135404730,7,492369830
경기도,수원시장안구,41111,2018,주민세,10만원 미만,3656,57048220,55533,825007430
경기도,수원시권선구,41113,2018,주민세,10만원 미만,5726,88970150,55533,825007430
경기도,수원시팔달구,41115,2018,주민세,10만원 미만,5963,104840940,55533,825007430
경기도,수원시영통구,41117,2018,주민세,10만원 미만,2719,43256390,55533,825007430
경기도,수원시장안구,41111,2018,주민세,10만원~30만원미만,1,128380,355,63268540
경기도,수원시권선구,41113,2018,주민세,10만원~30만원미만,5,864660,355,63268540
경기도,수원시팔달구,41115,2018,주민세,10만원~30만원미만,20,3490150,355,63268540
경기도,수원시영통구,41117,2018,주민세,10만원~30만원미만,12,2270330,355,63268540
경기도,수원시팔달구,41115,2018,주민세,1백만원~3백만원미만,1,1394260,104,167646510
경기도,수원시장안구,41111,2018,주민세,30만원~50만원미만,1,411070,43,16630100
경기도,수원시팔달구,41115,2018,주민세,30만원~50만원미만,4,1694640,43,16630100
경기도,수원시권선구,41113,2018,주민세,50만원~1백만원미만,1,578110,149,107613050
경기도,수원시팔달구,41115,2018,주민세,50만원~1백만원미만,4,2754430,149,107613050
경기도,수원시장안구,41111,2018,지방소득세,10만원 미만,244,6205140,4973,140912440
경기도,수원시권선구,41113,2018,지방소득세,10만원 미만,360,10335600,4973,140912440
경기도,수원시팔달구,41115,2018,지방소득세,10만원 미만,396,9322360,4973,140912440
경기도,수원시영통구,41117,2018,지방소득세,10만원 미만,341,10007780,4973,140912440
경기도,수원시장안구,41111,2018,지방소득세,10만원~30만원미만,92,16349150,1744,320366690
경기도,수원시권선구,41113,2018,지방소득세,10만원~30만원미만,156,27686290,1744,320366690
경기도,수원시팔달구,41115,2018,지방소득세,10만원~30만원미만,120,21882980,1744,320366690
경기도,수원시영통구,41117,2018,지방소득세,10만원~30만원미만,62,11323270,1744,320366690
경기도,수원시장안구,41111,2018,지방소득세,1백만원~3백만원미만,55,96438720,1298,2285977660
경기도,수원시권선구,41113,2018,지방소득세,1백만원~3백만원미만,82,138805290,1298,2285977660
경기도,수원시팔달구,41115,2018,지방소득세,1백만원~3백만원미만,86,152991530,1298,2285977660
경기도,수원시영통구,41117,2018,지방소득세,1백만원~3백만원미만,57,104781810,1298,2285977660
경기도,수원시장안구,41111,2018,지방소득세,1억원~3억원미만,1,103718410,4,593070910
경기도,수원시팔달구,41115,2018,지방소득세,1억원~3억원미만,1,141316790,4,593070910
경기도,수원시영통구,41117,2018,지방소득세,1억원~3억원미만,1,243074050,4,593070910
경기도,수원시장안구,41111,2018,지방소득세,1천만원~3천만원미만,17,253697740,230,3771233400
경기도,수원시권선구,41113,2018,지방소득세,1천만원~3천만원미만,29,522965920,230,3771233400
경기도,수원시팔달구,41115,2018,지방소득세,1천만원~3천만원미만,26,408862670,230,3771233400
경기도,수원시영통구,41117,2018,지방소득세,1천만원~3천만원미만,7,105095060,230,3771233400
경기도,수원시장안구,41111,2018,지방소득세,30만원~50만원미만,24,9762880,311,126067410
경기도,수원시권선구,41113,2018,지방소득세,30만원~50만원미만,45,19219790,311,126067410
경기도,수원시팔달구,41115,2018,지방소득세,30만원~50만원미만,32,13269660,311,126067410
경기도,수원시영통구,41117,2018,지방소득세,30만원~50만원미만,30,12593870,311,126067410
경기도,수원시장안구,41111,2018,지방소득세,3백만원~5백만원미만,24,90365800,404,1566640820
경기도,수원시권선구,41113,2018,지방소득세,3백만원~5백만원미만,31,127914990,404,1566640820
경기도,수원시팔달구,41115,2018,지방소득세,3백만원~5백만원미만,25,97662840,404,1566640820
경기도,수원시영통구,41117,2018,지방소득세,3백만원~5백만원미만,20,76707490,404,1566640820
경기도,수원시장안구,41111,2018,지방소득세,3천만원~5천만원미만,6,232648940,43,1626941810
경기도,수원시권선구,41113,2018,지방소득세,3천만원~5천만원미만,5,185562940,43,1626941810
경기도,수원시팔달구,41115,2018,지방소득세,3천만원~5천만원미만,7,256833320,43,1626941810
경기도,수원시영통구,41117,2018,지방소득세,3천만원~5천만원미만,5,196864960,43,1626941810
경기도,수원시장안구,41111,2018,지방소득세,50만원~1백만원미만,44,30981540,1045,750496260
경기도,수원시권선구,41113,2018,지방소득세,50만원~1백만원미만,65,45894480,1045,750496260
경기도,수원시팔달구,41115,2018,지방소득세,50만원~1백만원미만,66,48273220,1045,750496260
경기도,수원시영통구,41117,2018,지방소득세,50만원~1백만원미만,47,32758240,1045,750496260
경기도,수원시장안구,41111,2018,지방소득세,5백만원~1천만원미만,21,144859220,362,2513497630
경기도,수원시권선구,41113,2018,지방소득세,5백만원~1천만원미만,37,256532790,362,2513497630
경기도,수원시팔달구,41115,2018,지방소득세,5백만원~1천만원미만,35,243978760,362,2513497630
경기도,수원시영통구,41117,2018,지방소득세,5백만원~1천만원미만,21,154943600,362,2513497630
경기도,수원시장안구,41111,2018,지방소득세,5천만원~1억원미만,4,249046340,27,1808239880
경기도,수원시권선구,41113,2018,지방소득세,5천만원~1억원미만,2,128811570,27,1808239880
경기도,수원시팔달구,41115,2018,지방소득세,5천만원~1억원미만,3,185147510,27,1808239880
경기도,수원시장안구,41111,2018,지역자원시설세,10만원 미만,11,194730,49,945650
경기도,수원시팔달구,41115,2018,지역자원시설세,10만원 미만,3,18440,49,945650
경기도,수원시영통구,41117,2018,지역자원시설세,10만원 미만,2,6270,49,945650
경기도,수원시장안구,41111,2018,지역자원시설세,10만원~30만원미만,3,625880,6,1170640
경기도,수원시권선구,41113,2018,지역자원시설세,10만원~30만원미만,1,123600,6,1170640
경기도,수원시장안구,41111,2018,취득세,10만원 미만,4,146570,210,8819430
경기도,수원시권선구,41113,2018,취득세,10만원 미만,15,797270,210,8819430
경기도,수원시팔달구,41115,2018,취득세,10만원 미만,9,560400,210,8819430
경기도,수원시영통구,41117,2018,취득세,10만원 미만,1,97080,210,8819430
경기도,수원시장안구,41111,2018,취득세,10만원~30만원미만,2,358070,162,29500160
경기도,수원시권선구,41113,2018,취득세,10만원~30만원미만,4,773910,162,29500160
경기도,수원시팔달구,41115,2018,취득세,10만원~30만원미만,2,315680,162,29500160
